Combination_ID	CADD1	CADD2	CADD3	CADD4	BiolDist	ISPP_AR_A	ISPP_AR_B	ISPP_AD_A	ISPP_AD_B	ISPP_XL_A	HIPred_A	HIPred_B	dn_ds_A	BPO_sim	KG_dist
OLI452	1.197	1.197	7.852	7.852	4.22	0.0	0.0	0.026	0.0	0.897	0.65	0.704	0.515	0.19	1.0
OLI453	3.681	-3	4.229	-3	1.259	0.095	0.013	0.015	0.0	-0.5	0.699	0.644	0.134	0.279	1.0
OLI454	3.424	-3	2.515	-3	4.378	0.57	0.104	0.019	0.065	-0.5	0.439	0.543	0.054	0.676	1.0
OLI458	3.795	-3	4.906	-3	NaN	0.03	0.053	0.052	0.028	-0.5	0.652	0.492	0.216	0.153	1.0
OLI465	3.845	-3	3.428	-3	NaN	0.765	0.071	0.018	0.0	-0.5	0.353	0.241	0.324	0.014	1.0
OLI466	3.854	2.223	2.03	-3	23.419	0.599	0.8	0.0	0.009	-0.5	0.207	0.546	0.374	0.061	1.5
OLI467	3.878	-3	3.84	-3	14.231	0.8	0.071	0.009	0.0	-0.5	0.546	0.241	0.594	0.279	1.0
OLI471	7.582	2.794	0.481	-3	NaN	0.038	NaN	0.013	NaN	-0.5	0.551	NaN	0.46	NaN	NaN
OLI473	4.204	-3	6.626	4.059	NaN	0.765	0.071	0.018	0.0	-0.5	0.353	0.241	0.324	0.014	1.0
OLI478	2.456	-3	2.077	-3	NaN	0.051	0.691	0.782	0.014	-0.5	0.794	0.429	0.363	0.072	1.0
OLI480	4.084	-3	3.993	-3	6.112	0.074	0.031	0.723	0.785	-0.5	0.783	0.694	0.137	0.123	1.0
OLI482	2.848	-3	3.765	-3	10.157	0.031	0.051	0.785	0.782	-0.5	0.694	0.794	0.108	0.079	1.0
OLI489	2.945	-3	2.399	-3	12.304	0.043	0.051	0.08	0.782	-0.5	0.846	0.794	0.109	0.114	1.0
OLI493	3.374	-3	2.077	-3	NaN	0.031	0.691	0.785	0.014	-0.5	0.694	0.429	0.108	0.053	2.0
OLI496	4.133	-3	1.835	-3	NaN	0.074	0.028	0.723	0.712	-0.5	0.783	0.816	0.137	0.145	1.0
OLI497	2.425	-3	3.692	3.692	13.122	0.057	0.155	0.061	0.09	-0.5	0.736	0.542	0.037	0.466	1.0
OLI498	2.167	-3	1.687	-3	3.175	0.008	0.0	0.0	0.049	-0.5	0.296	0.784	0.161	0.059	1.5
OLI500	8.001	-3	0.9	-3	1.002	0.069	0.148	0.074	0.667	-0.5	0.486	0.318	0.239	0.267	1.0
OLI502	0.68	-3	2.457	-3	NaN	0.104	0.765	0.671	0.018	-0.5	0.292	0.353	0.236	0.012	1.5
OLI504	4.009	-3	2.826	-3	4.334	0.013	0.082	0.0	0.076	0.838	0.605	0.683	0.304	0.136	1.0
OLI505	3.441	-3	3.432	-3	5.776	0.038	0.015	0.042	0.028	-0.5	0.639	0.756	NaN	0.235	1.0
OLI506	2.747	-3	2.186	-3	5.776	0.038	0.015	0.042	0.028	-0.5	0.639	0.756	NaN	0.235	1.0
OLI507	3.097	-3	3.097	-3	5.776	0.038	0.015	0.042	0.028	-0.5	0.639	0.756	NaN	0.235	1.0
OLI508	3.097	-3	3.575	-3	6.187	0.038	0.013	0.042	0.015	-0.5	0.639	0.825	NaN	0.188	1.0
OLI509	3.805	-3	3.432	-3	5.57	0.013	0.015	0.019	0.028	-0.5	0.639	0.756	0.209	0.204	1.0
OLI510	4.358	-3	0.786	-3	5.776	0.038	0.015	0.042	0.028	-0.5	0.639	0.756	NaN	0.235	1.0
OLI513	4.044	-3	2.402	-3	NaN	0.019	0.052	0.674	0.094	-0.5	0.831	NaN	0.31	0.325	1.0
OLI514	4.139	-3	2.805	-3	1.005	0.668	0.075	0.0	0.0	-0.5	0.64	0.396	0.386	0.26	1.0
OLI515	4.192	-3	5.083	-3	22.101	0.019	0.792	0.017	0.0	-0.5	0.685	0.498	0.059	0.082	1.0
OLI516	3.399	-3	3.945	-3	1.11	0.066	0.013	0.034	0.0	-0.5	0.575	0.605	0.679	0.345	1.0
OLI517	4.224	-3	4.202	-3	1.006	0.035	0.066	0.029	0.754	-0.5	0.626	0.584	0.176	0.61	1.0
OLI518	3.616	-3	4.213	3.343	21.464	0.038	0.071	0.013	0.0	-0.5	0.551	0.241	0.46	0.109	1.0
OLI524	2.393	-3	3.156	-3	30.146	0.692	0.709	0.0	0.025	-0.5	0.492	0.146	0.186	0.18	1.0
OLI526	-0.642	-3	3.515	-3	30.146	0.692	0.709	0.0	0.025	-0.5	0.492	0.146	0.186	0.18	1.0
OLI527	1.885	-3	3.515	-3	30.146	0.692	0.709	0.0	0.025	-0.5	0.492	0.146	0.186	0.18	1.0
OLI531	3.897	-3	3.515	-3	30.146	0.692	0.709	0.0	0.025	-0.5	0.492	0.146	0.186	0.18	1.0
OLI532	2.256	-3	0.228	-3	30.146	0.692	0.709	0.0	0.025	-0.5	0.492	0.146	0.186	0.18	1.0
OLI537	3.828	-3	3.515	-3	13.295	0.616	0.709	0.014	0.025	-0.5	0.473	0.146	0.147	0.123	1.0
OLI538	2.774	-3	0.228	-3	13.295	0.616	0.709	0.014	0.025	-0.5	0.473	0.146	0.147	0.123	1.0
OLI540	3.872	-3	3.897	-3	12.798	0.616	0.692	0.014	0.0	-0.5	0.473	0.492	0.147	0.363	1.0
OLI545	4.397	-3	3.176	-3	1.042	0.616	0.757	0.014	0.0	-0.5	0.473	0.539	0.147	0.373	1.0
OLI547	3.759	-3	4.222	-3	1.018	0.006	0.023	0.229	0.091	-0.5	0.747	0.79	0.095	0.465	1.0
OLI548	4.869	-3	4.467	-3	1.018	0.006	0.023	0.229	0.091	-0.5	0.747	0.79	0.095	0.465	1.0
OLI550	3.176	-3	4.146	-3	4.145	0.028	0.046	0.073	0.674	-0.5	0.676	0.809	0.205	0.703	1.0
OLI559	2.23	-3	3.761	-3	19.14	0.025	0.018	0.094	0.033	-0.5	0.728	0.52	0.199	0.079	1.5
OLI560	2.357	-3	3.746	-3	11.0	0.027	0.035	0.099	0.647	-0.5	0.693	0.85	0.113	0.394	1.0
OLI562	2.634	-3	7.345	4.189	1.111	0.599	0.071	0.0	0.0	-0.5	0.207	0.241	0.374	0.177	1.0
OLI563	4.726	-3	2.174	2.174	14.231	0.8	0.071	0.009	0.0	-0.5	0.546	0.241	0.594	0.279	1.0
OLI564	2.274	-3	3.96	-3	14.231	0.8	0.071	0.009	0.0	-0.5	0.546	0.241	0.594	0.279	1.0
OLI567	0.038	-3	5.356	-3	14.231	0.8	0.071	0.009	0.0	-0.5	0.546	0.241	0.594	0.279	1.0
OLI607	4.364	-3	1.935	-3	2.404	0.698	0.071	0.013	0.015	-0.5	0.443	0.264	0.449	0.246	1.0
OLI610	4.465	-3	1.937	-3	1.111	0.732	0.071	0.046	0.015	-0.5	0.466	0.264	0.247	0.218	1.0
OLI639	4.383	4.383	1.982	1.982	6.421	0.038	0.042	0.119	0.684	-0.5	0.673	0.875	0.259	0.15	1.0
OLI645	-0.344	-3	1.293	-3	4.115	0.031	0.038	0.785	0.116	-0.5	0.694	0.711	0.108	0.451	1.0
OLI667	4.177	-3	4.413	-3	3.704	0.019	0.685	0.057	0.028	-0.5	0.733	0.251	0.083	0.223	1.0
OLI669	2.225	-3	2.15	-3	1.639	0.019	0.115	0.057	0.717	-0.5	0.733	0.738	0.083	0.348	1.0
OLI673	6.39	-3	2.289	-3	17.383	0.115	0.588	0.034	0.013	-0.5	0.825	0.17	0.191	0.263	1.0
OLI680	3.974	-3	3.216	-3	NaN	0.776	0.15	0.052	0.026	0.01	0.747	0.593	0.467	0.042	1.0
OLI684	4.437	-3	3.523	-3	33.502	0.038	0.603	0.042	0.0	-0.5	0.639	0.267	NaN	0.107	2.0
OLI685	3.692	-3	3.851	-3	14.433	0.049	0.622	0.033	0.006	-0.5	0.786	0.368	0.096	0.163	1.5
OLI688	4.241	3.663	4.243	-3	12.125	0.061	0.058	0.09	0.59	-0.5	0.389	0.725	0.124	0.01	1.0
OLI694	2.846	-3	1.022	-3	28.814	0.084	0.067	0.04	0.013	-0.5	0.527	0.139	0.211	0.001	1.5
OLI708	3.309	-3	3.622	-3	13.696	0.819	0.064	0.056	0.03	-0.5	0.544	0.409	0.154	0.126	1.5
OLI709	4.656	-3	4.105	-3	20.535	0.77	0.756	0.018	0.051	-0.5	0.441	0.379	0.201	0.137	2.0
OLI755	2.789	-3	3.007	-3	4.636	0.029	0.032	0.093	0.78	-0.5	0.635	0.831	0.476	0.241	1.0
OLI767	4.604	3.037	2.661	-3	NaN	0.814	NaN	0.016	NaN	-0.5	0.3	NaN	0.451	NaN	NaN
OLI779	4.085	-3	3.974	-3	1.018	0.048	0.053	0.18	0.041	-0.5	0.792	0.798	0.132	0.487	1.0
OLI794	3.811	-3	3.434	3.434	10.573	0.033	0.078	0.747	0.123	-0.5	0.652	0.432	0.119	0.197	1.0
OLI795	3.811	-3	3.434	-3	10.573	0.033	0.078	0.747	0.123	-0.5	0.652	0.432	0.119	0.197	1.0
OLI817	8.474	-3	2.453	-3	1.002	0.069	0.148	0.074	0.667	-0.5	0.486	0.318	0.239	0.267	1.0
OLI818	8.474	-3	0.515	-3	1.002	0.069	0.148	0.074	0.667	-0.5	0.486	0.318	0.239	0.267	1.0
OLI820	2.861	-3	2.453	-3	1.002	0.069	0.148	0.074	0.667	-0.5	0.486	0.318	0.239	0.267	1.0
OLI821	3.603	-3	2.453	-3	1.002	0.069	0.148	0.074	0.667	-0.5	0.486	0.318	0.239	0.267	1.0
OLI831	3.433	-3	3.854	-3	12.509	0.653	0.044	0.045	0.742	-0.5	0.698	0.828	0.335	0.133	1.0
OLI834	4.186	-3	4.009	-3	1.145	0.008	0.013	0.0	0.006	-0.5	0.296	0.241	0.161	0.377	1.0
OLI838	3.045	-3	3.899	-3	NaN	0.009	0.109	0.083	0.56	-0.5	0.786	0.594	0.118	0.111	1.0
OLI839	2.445	-3	4.421	-3	9.613	0.006	0.006	0.614	0.732	-0.5	0.783	0.555	0.303	0.051	2.0
OLI841	5.83	-3	1.354	-3	9.583	0.006	0.64	0.151	0.0	-0.5	0.584	0.23	0.164	0.205	1.0
OLI842	4.402	-3	4.045	4.045	10.461	0.006	0.0	0.151	0.0	-0.5	0.584	0.123	0.164	0.07	1.0
OLI859	4.52	-3	4.186	-3	17.431	0.006	0.008	0.341	0.0	-0.5	0.8	0.296	0.19	0.05	1.5
OLI862	4.186	-3	7.108	-3	28.403	0.008	0.757	0.0	0.0	-0.5	0.296	0.475	0.161	0.006	1.0
OLI870	2.772	-3	3.878	-3	25.083	0.069	0.008	0.041	0.0	-0.5	0.851	0.296	0.316	0.078	1.0
OLI890	4.186	-3	1.901	-3	NaN	0.008	0.006	0.0	0.082	-0.5	0.296	0.112	0.161	0.408	1.0
OLI891	2.057	-3	2.219	-3	NaN	0.067	0.006	0.595	0.082	-0.5	0.567	0.112	0.238	0.073	1.0
OLI892	4.186	-3	3.188	-3	28.403	0.008	0.757	0.0	0.0	-0.5	0.296	0.475	0.161	0.006	1.0
OLI895	4.186	-3	3.987	-3	9.103	0.008	0.717	0.0	0.051	-0.5	0.296	0.367	0.161	0.751	1.0
OLI911	3.909	-3	2.219	-3	NaN	0.09	0.006	0.068	0.082	-0.5	0.553	0.112	1.039	0.11	1.0
OLI916	4.009	4.009	2.826	-3	4.334	0.013	0.082	0.0	0.076	0.838	0.605	0.683	0.304	0.136	1.0
